Timestamp,Detected_Object,Severity,Confidence,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2,Source
2026-02-22 18:04:12.416728,fire,Low,0.641,304,583,338,611,Video
2026-02-22 18:04:12.424763,smoke,Low,0.628,321,521,462,704,Video
2026-02-22 18:04:12.845484,smoke,Medium,0.838,38,13,458,505,Video
2026-02-22 18:04:12.850229,smoke,Low,0.654,329,525,466,703,Video
2026-02-22 18:04:13.270165,smoke,Medium,0.845,53,11,459,523,Video
2026-02-22 18:04:13.678296,smoke,Medium,0.861,45,13,458,508,Video
2026-02-22 18:04:13.682084,smoke,Low,0.69,355,528,468,699,Video
2026-02-22 18:04:14.092206,smoke,Medium,0.885,43,16,459,515,Video
2026-02-22 18:04:14.097436,smoke,Low,0.558,354,529,467,695,Video
2026-02-22 18:04:14.499280,smoke,High,0.907,39,17,463,518,Video
2026-02-22 18:04:14.932137,smoke,Medium,0.895,36,18,463,521,Video
2026-02-22 18:04:14.937465,fire,Low,0.516,110,424,191,498,Video
2026-02-22 18:04:15.356519,smoke,Medium,0.896,32,17,461,529,Video
2026-02-22 18:04:15.783841,smoke,Medium,0.896,34,19,459,536,Video
2026-02-22 18:04:16.207685,smoke,Medium,0.892,27,16,458,532,Video
2026-02-22 18:04:16.634428,smoke,High,0.907,26,20,460,517,Video
2026-02-22 18:04:17.055253,smoke,Medium,0.884,25,19,464,539,Video
2026-02-22 18:04:17.060491,fire,Low,0.543,104,424,187,494,Video
2026-02-22 18:04:17.478309,smoke,Medium,0.853,25,19,463,564,Video
2026-02-22 18:04:17.484589,fire,Low,0.603,256,553,348,599,Video
2026-02-22 18:04:17.490382,fire,Low,0.6,226,508,327,537,Video
2026-02-22 18:04:17.902141,smoke,Medium,0.872,25,24,465,536,Video
2026-02-22 18:04:18.317853,smoke,Medium,0.836,23,25,464,564,Video
2026-02-22 18:04:18.323484,fire,Low,0.621,100,431,179,490,Video
2026-02-22 18:04:19.427489,smoke,Medium,0.858,24,26,465,558,Video
2026-02-22 18:04:19.432080,fire,Low,0.53,101,428,179,490,Video
2026-02-22 18:04:19.840123,smoke,Medium,0.88,25,23,465,558,Video
2026-02-22 18:04:20.241752,smoke,Medium,0.885,24,31,465,550,Video
2026-02-22 18:04:20.681269,smoke,Medium,0.858,21,16,464,604,Video
2026-02-22 18:04:21.097305,smoke,High,0.906,21,21,465,520,Video
2026-02-22 18:04:21.502815,smoke,Medium,0.889,21,20,464,585,Video
2026-02-22 18:04:21.507376,fire,Low,0.556,100,416,183,474,Video
2026-02-22 18:04:21.942750,smoke,Medium,0.898,19,20,463,536,Video
2026-02-22 18:04:22.368947,smoke,Medium,0.878,17,18,463,556,Video
2026-02-22 18:04:22.374816,fire,Low,0.656,98,414,185,469,Video
2026-02-22 18:04:22.785157,smoke,High,0.908,19,19,463,537,Video
2026-02-22 18:04:22.790683,fire,Low,0.775,98,412,185,466,Video
2026-02-22 18:04:23.179663,smoke,Medium,0.871,17,22,463,500,Video
2026-02-22 18:04:23.184762,fire,Low,0.667,100,413,187,465,Video
2026-02-22 18:04:23.595791,smoke,High,0.904,15,21,464,499,Video
2026-02-22 18:04:24.017539,smoke,Medium,0.889,16,24,462,553,Video
2026-02-22 18:04:24.021474,fire,Low,0.581,103,409,192,459,Video
2026-02-22 18:04:24.426984,smoke,Medium,0.889,14,24,463,497,Video
2026-02-22 18:04:24.436137,fire,Low,0.728,101,400,156,442,Video
2026-02-22 18:04:24.836744,smoke,Medium,0.877,16,22,463,498,Video
2026-02-22 18:04:24.842329,fire,Low,0.762,102,401,158,445,Video
2026-02-22 18:04:25.242490,smoke,Medium,0.887,17,21,464,495,Video
2026-02-22 18:04:25.637735,smoke,Medium,0.883,18,28,465,497,Video
2026-02-22 18:04:25.642305,fire,Low,0.565,109,411,162,450,Video
2026-02-22 18:04:26.064903,smoke,Medium,0.89,17,25,468,496,Video
2026-02-22 18:04:26.482196,smoke,Medium,0.861,19,32,465,505,Video
2026-02-22 18:04:26.881865,smoke,Medium,0.868,19,32,464,508,Video
2026-02-22 18:04:27.286926,smoke,Medium,0.86,19,25,463,507,Video
2026-02-22 18:04:27.292145,fire,Low,0.56,122,418,170,454,Video
2026-02-22 18:04:27.709081,smoke,Medium,0.878,18,25,464,510,Video
2026-02-22 18:04:27.715040,fire,Low,0.609,124,422,171,453,Video
2026-02-22 18:04:28.148185,smoke,Medium,0.871,18,25,461,501,Video
2026-02-22 18:04:28.567557,smoke,Medium,0.884,22,25,465,569,Video
2026-02-22 18:04:28.972722,smoke,Medium,0.875,21,21,461,571,Video
2026-02-22 18:04:29.379428,smoke,Medium,0.883,20,19,460,572,Video
2026-02-22 18:04:29.771793,smoke,Medium,0.885,20,17,463,545,Video
2026-02-22 18:04:30.162742,smoke,Medium,0.891,21,16,462,544,Video
2026-02-22 18:04:30.562974,smoke,Medium,0.865,21,12,464,570,Video
2026-02-22 18:04:30.959294,smoke,Medium,0.873,21,19,463,538,Video
2026-02-22 18:04:31.364192,smoke,Medium,0.864,20,18,464,531,Video
2026-02-22 18:04:31.770922,smoke,Medium,0.871,19,60,464,572,Video
2026-02-22 18:04:31.777123,fire,Low,0.547,278,479,384,534,Video
2026-02-22 18:04:32.183580,smoke,Medium,0.848,19,13,461,542,Video
2026-02-22 18:04:32.189216,fire,Low,0.691,284,490,391,546,Video
2026-02-22 18:04:32.194333,fire,Low,0.571,12,332,68,403,Video
2026-02-22 18:04:32.596092,smoke,Medium,0.855,19,23,464,550,Video
2026-02-22 18:04:32.981447,smoke,Medium,0.863,19,14,462,548,Video
2026-02-22 18:04:33.375472,smoke,Medium,0.862,19,16,462,552,Video
2026-02-22 18:04:33.769383,smoke,Medium,0.845,22,18,463,576,Video
2026-02-22 18:04:34.172094,smoke,Low,0.775,29,21,464,596,Video
2026-02-22 18:04:34.568180,smoke,Medium,0.82,28,22,463,575,Video
2026-02-22 18:04:34.971696,smoke,Medium,0.808,24,18,463,525,Video
2026-02-22 18:04:35.376174,smoke,Medium,0.81,27,12,463,558,Video
2026-02-22 18:04:35.773359,smoke,Medium,0.832,27,10,462,501,Video
2026-02-22 18:04:36.172731,smoke,Medium,0.825,33,10,463,607,Video
2026-02-22 18:04:36.610524,smoke,Medium,0.893,27,9,461,622,Video
2026-02-22 18:04:36.615573,fire,Low,0.531,39,377,160,491,Video
2026-02-22 18:04:37.044288,smoke,Medium,0.895,28,9,460,620,Video
2026-02-22 18:04:37.049100,fire,Low,0.528,45,382,164,493,Video
2026-02-22 18:04:37.467550,smoke,Medium,0.888,35,14,457,636,Video
2026-02-22 18:04:37.882052,smoke,Medium,0.867,33,15,457,651,Video
2026-02-22 18:04:38.315480,smoke,Medium,0.848,43,16,456,667,Video
2026-02-22 18:04:38.740930,smoke,Medium,0.848,40,15,455,682,Video
2026-02-22 18:04:39.169319,smoke,Medium,0.899,41,14,457,541,Video
2026-02-22 18:04:39.598907,smoke,High,0.903,41,13,458,546,Video
2026-02-22 18:04:40.036443,smoke,Medium,0.891,36,13,457,552,Video
2026-02-22 18:04:40.501780,smoke,Medium,0.876,35,17,457,568,Video
2026-02-22 18:04:42.109792,smoke,Medium,0.894,37,16,458,563,Video
2026-02-22 18:04:43.510407,smoke,Medium,0.864,38,22,456,580,Video
2026-02-22 18:04:43.967631,smoke,Medium,0.849,60,30,456,566,Video
2026-02-22 18:04:44.467452,smoke,Medium,0.858,45,33,457,562,Video
2026-02-22 18:04:44.475107,fire,Low,0.661,109,466,188,542,Video
2026-02-22 18:04:44.952343,smoke,Medium,0.878,32,29,457,561,Video
2026-02-22 18:04:44.957596,fire,Low,0.708,112,473,195,546,Video
2026-02-22 18:04:45.363025,smoke,Medium,0.882,27,19,454,572,Video
2026-02-22 18:04:45.760362,smoke,Medium,0.856,27,26,454,581,Video
2026-02-22 18:04:46.235653,smoke,Low,0.784,24,26,453,559,Video
2026-02-22 18:04:46.885492,smoke,Medium,0.826,26,20,452,558,Video
2026-02-22 18:04:47.320759,smoke,Medium,0.875,26,16,454,565,Video
2026-02-22 18:04:47.742496,smoke,Medium,0.882,30,17,456,591,Video
2026-02-22 18:04:48.160604,smoke,Medium,0.893,28,17,457,560,Video
